0,BIO_COMC,BIO_COMC_CCS,BIO_STUR,BIO_STUR_CCS,Biogas_ICEN,GAS_Autoproducer,GAS_COMC,GAS_COMC_CCS,GAS_GTUR,GAS_SOFC,GAS_STUR,GEO_STUR,HRD_COMC,HRD_COMC_CCS,HRD_STUR,HYD_PEMFC,LIG_STUR,NUC_STUR,OIL_Autoproducers,OIL_COMC,OIL_GTUR,OIL_STUR,Ocean_TIDAL,Ocean_WAVE,SUN_PHOT,SUN_STUR,WAT_HDAM,WAT_HPHS,WAT_HROR,WIN_WTOF,WIN_WTON
AT,2061.0,0.0,0.0,0.0,30.0,0.0,4257.0,4354.0,1751.0,0.0,178.0,474.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78132.0,0.0,3684.0,2055.0,6280.0,0.0,12362.0
BE,20.0,0.0,1622.0,0.0,0.0,308.0,14576.0,7571.0,4192.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,129067.0,0.0,0.0,0.0,105.0,3864.0,18130.0
BG,66.0,194.0,11.0,0.0,64.0,0.0,3276.0,439.0,1129.0,0.0,213.0,628.0,0.0,0.0,479.0,0.0,1303.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,32493.000000000004,0.0,1933.0,0.0,51.0,0.0,6935.0
CH,0.0,0.0,450.0,0.0,68.0,0.0,7210.0,0.0,1442.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15550.0,0.0,8303.0,1835.0,3456.0,0.0,12125.0
CY,0.0,0.0,0.0,0.0,25.0,0.0,606.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,21871.0,1724.0,0.0,0.0,0.0,0.0,0.0
CZ,1597.0,0.0,0.0,0.0,0.0,181.0,6713.0,3305.0,2403.0,0.0,0.0,342.0,0.0,0.0,800.0,0.0,1684.0,1926.0,0.0,0.0,0.0,0.0,0.0,0.0,26774.0,0.0,793.0,280.0,227.0,0.0,41890.0
DE,9769.0,0.0,384.0,0.0,11.0,0.0,100229.0,8513.0,21317.0,0.0,0.0,2475.0,0.0,0.0,0.0,0.0,4089.0000000000005,0.0,0.0,216.0,0.0,249.0,216.0,0.0,267570.0,0.0,1166.0,275.0,3402.0,105545.0,106972.0
DK,506.0,998.0,0.0,0.0,69.0,0.0,7783.0,0.0,1974.0,0.0,0.0,209.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12772.0,0.0,0.0,0.0,0.0,1246.0,46685.0
EE,73.0,164.0,0.0,74.0,85.0,0.0,1144.0,597.0,473.0,0.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.0,0.0,0.0,0.0,0.0,868.0,7843.0
EL,238.0,0.0,163.0,0.0,0.0,0.0,6875.0,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,833.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,95597.0,16938.0,2358.0,0.0,49.0,0.0,6791.0
ES,2164.0,0.0,1948.0,0.0,0.0,0.0,40342.0,10994.0,8312.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,97.0,1460.0,0.0,0.0,0.0,0.0,33.0,0.0,307466.0,61014.0,10075.0,1076.0,2733.0,0.0,80422.0
FI,2161.0,0.0,236.0,0.0,377.0,0.0,9158.0,1205.0,2044.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,466.0,0.0,0.0,0.0,23937.0,0.0,3035.0,1585.0,36.0,19982.0,19732.0
FR,4191.0,0.0,0.0,0.0,1600.0,0.0,69625.0,0.0,18273.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,600.0,17618.0,0.0,0.0,1945.0,0.0,11263.0,0.0,154564.0,0.0,12639.0,9704.0,5340.0,0.0,310005.0
HR,170.0,0.0,0.0,0.0,0.0,198.0,1466.0,1028.0,538.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,1095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3043.0,0.0,1533.0,321.0,315.0,0.0,563.0
HU,563.0,0.0,0.0,0.0,612.0,0.0,5017.0,3818.0,1328.0,0.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,15.0,62.0,0.0,0.0,0.0,7497.0,0.0,0.0,0.0,49.0,0.0,12701.0
IE,545.0,0.0,0.0,0.0,0.0,0.0,4347.0,0.0,876.0,0.0,74.0,318.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2790.0,0.0,0.0,0.0,215.0,178.0,19.0,1000.0,4396.0
IT,5783.0,0.0,244.0,0.0,529.0,0.0,58686.0,4210.0,14196.0,0.0,0.0,817.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404893.0,37755.0,11229.0,6145.0,4726.0,0.0,90694.0
LT,0.0,16.0,44.0,180.0,175.0,0.0,1832.0,298.0,487.0,0.0,170.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,5548.0,0.0,116.0,0.0,0.0,10.0,9643.0
LU,75.0,0.0,0.0,0.0,0.0,0.0,1414.0,1808.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10370.0,0.0,34.0,11.0,17.0,0.0,300.0
LV,52.0,0.0,0.0,0.0,0.0,345.0,1343.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3698.0,0.0,1536.0,0.0,0.0,200.0,5861.0
Mt,0.0,0.0,0.0,0.0,0.0,0.0,363.0,15.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,0.0,11.0,238.0
NL,2101.0,485.0,0.0,0.0,43.0,1635.0,30057.0,0.0,6477.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,457.0,0.0,48627.0,0.0,0.0,0.0,37.0,48750.0,43879.0
NO,1012.9999999999999,0.0,0.0,0.0,0.0,0.0,1713.0,865.0,523.0,208.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5094.0,0.0,21233.0,0.0,5989.0,0.0,14144.0
PL,3756.0,0.0,0.0,0.0,55.0,1717.0,30777.0,0.0,7157.0,0.0,0.0,1142.0,0.0,0.0,0.0,0.0,9983.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,52725.0,0.0,463.0,1649.0,464.0,20482.0,78772.0
PT,694.0,0.0,465.0,0.0,0.0,0.0,6804.0,31.0,868.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44666.0,16250.0,1814.0,1633.0,2203.0,0.0,7290.0
RO,390.0,0.0,67.0,0.0,0.0,186.0,8177.0,0.0,2358.0,0.0,453.0,0.0,0.0,0.0,885.0,0.0,0.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,10928.0,0.0,6282.0,53.0,0.0,0.0,14557.0
SE,1571.0,0.0,13.0,0.0,485.0,0.0,3012.0,1812.0,3263.0,0.0,0.0,0.0,0.0,0.0,0.0,9249.0,0.0,2251.0,0.0,0.0,940.0,1840.0,0.0,0.0,40798.0,0.0,8117.000000000001,2080.0,8117.000000000001,140.0,93272.0
SI,327.0,0.0,24.0,0.0,35.0,0.0,1532.0,1129.0,490.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12547.0,0.0,932.0,1130.0,192.0,0.0,2425.0
SK,614.0,0.0,0.0,0.0,25.0,200.0,2625.0,2343.0,825.0,1027.0,0.0,288.0,0.0,0.0,440.0,0.0,9.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,17871.0,0.0,845.0,397.0,751.0,0.0,19001.0
UK,6363.0,0.0,17.0,0.0,0.0,955.0,88583.0,0.0,20083.0,0.0,0.0,981.0,0.0,0.0,0.0,0.0,448.0,0.0,0.0,0.0,0.0,0.0,13360.0,0.0,124678.0,0.0,1501.0,671.0,140.0,43451.0,220196.0
