Scenario,id,Connection,Congestion
Baseline,1980,CAPP <-> EAPP,37.37
Baseline,1981,CAPP <-> EAPP,25.88
Baseline,1982,CAPP <-> EAPP,35.51
Baseline,1983,CAPP <-> EAPP,6.55
Baseline,1984,CAPP <-> EAPP,49.37
Baseline,1985,CAPP <-> EAPP,26.86
Baseline,1986,CAPP <-> EAPP,35.56
Baseline,1987,CAPP <-> EAPP,27.65
Baseline,1988,CAPP <-> EAPP,34.55
Baseline,1989,CAPP <-> EAPP,43.66
Baseline,1990,CAPP <-> EAPP,39.37
Baseline,1991,CAPP <-> EAPP,39.95
Baseline,1992,CAPP <-> EAPP,55.42
Baseline,1993,CAPP <-> EAPP,31.42
Baseline,1994,CAPP <-> EAPP,34.4
Baseline,1995,CAPP <-> EAPP,52.63
Baseline,1996,CAPP <-> EAPP,30.66
Baseline,1997,CAPP <-> EAPP,7.99
Baseline,1998,CAPP <-> EAPP,45.91
Baseline,1999,CAPP <-> EAPP,48.13
Baseline,2000,CAPP <-> EAPP,8.78
Baseline,2001,CAPP <-> EAPP,28.82
Baseline,2002,CAPP <-> EAPP,19.58
Baseline,2003,CAPP <-> EAPP,54.92
Baseline,2004,CAPP <-> EAPP,24.08
Baseline,2005,CAPP <-> EAPP,34.17
Baseline,2006,CAPP <-> EAPP,10.62
Baseline,2007,CAPP <-> EAPP,36
Baseline,2008,CAPP <-> EAPP,49.32
Baseline,2009,CAPP <-> EAPP,13.6
Baseline,2010,CAPP <-> EAPP,72.69
Baseline,2011,CAPP <-> EAPP,53.88
Baseline,2012,CAPP <-> EAPP,40.24
Baseline,2013,CAPP <-> EAPP,34.32
Baseline,2014,CAPP <-> EAPP,10.79
Baseline,2015,CAPP <-> EAPP,23.28
Baseline,2016,CAPP <-> EAPP,39.32
Baseline,2017,CAPP <-> EAPP,7
Baseline,2018,CAPP <-> EAPP,56.19
Baseline,1980,CAPP <-> SAPP,58.53
Baseline,1981,CAPP <-> SAPP,58.77
Baseline,1982,CAPP <-> SAPP,68.82
Baseline,1983,CAPP <-> SAPP,54.49
Baseline,1984,CAPP <-> SAPP,69.87
Baseline,1985,CAPP <-> SAPP,61.83
Baseline,1986,CAPP <-> SAPP,60.61
Baseline,1987,CAPP <-> SAPP,61.03
Baseline,1988,CAPP <-> SAPP,50.58
Baseline,1989,CAPP <-> SAPP,57.96
Baseline,1990,CAPP <-> SAPP,65.99
Baseline,1991,CAPP <-> SAPP,56.41
Baseline,1992,CAPP <-> SAPP,60.25
Baseline,1993,CAPP <-> SAPP,63.13
Baseline,1994,CAPP <-> SAPP,45.68
Baseline,1995,CAPP <-> SAPP,60.27
Baseline,1996,CAPP <-> SAPP,66.2
Baseline,1997,CAPP <-> SAPP,54.97
Baseline,1998,CAPP <-> SAPP,57.51
Baseline,1999,CAPP <-> SAPP,50.02
Baseline,2000,CAPP <-> SAPP,33.65
Baseline,2001,CAPP <-> SAPP,55.87
Baseline,2002,CAPP <-> SAPP,50.72
Baseline,2003,CAPP <-> SAPP,56.19
Baseline,2004,CAPP <-> SAPP,55.74
Baseline,2005,CAPP <-> SAPP,60.15
Baseline,2006,CAPP <-> SAPP,49.6
Baseline,2007,CAPP <-> SAPP,52.43
Baseline,2008,CAPP <-> SAPP,55.92
Baseline,2009,CAPP <-> SAPP,43.87
Baseline,2010,CAPP <-> SAPP,61.01
Baseline,2011,CAPP <-> SAPP,60.84
Baseline,2012,CAPP <-> SAPP,54.99
Baseline,2013,CAPP <-> SAPP,57.64
Baseline,2014,CAPP <-> SAPP,50.5
Baseline,2015,CAPP <-> SAPP,57.33
Baseline,2016,CAPP <-> SAPP,54.1
Baseline,2017,CAPP <-> SAPP,44.11
Baseline,2018,CAPP <-> SAPP,59.42
Baseline,1980,CAPP <-> WAPP,0
Baseline,1981,CAPP <-> WAPP,0
Baseline,1982,CAPP <-> WAPP,0
Baseline,1983,CAPP <-> WAPP,0
Baseline,1984,CAPP <-> WAPP,0
Baseline,1985,CAPP <-> WAPP,0
Baseline,1986,CAPP <-> WAPP,0
Baseline,1987,CAPP <-> WAPP,0
Baseline,1988,CAPP <-> WAPP,0
Baseline,1989,CAPP <-> WAPP,0
Baseline,1990,CAPP <-> WAPP,0
Baseline,1991,CAPP <-> WAPP,0
Baseline,1992,CAPP <-> WAPP,0
Baseline,1993,CAPP <-> WAPP,0
Baseline,1994,CAPP <-> WAPP,0
Baseline,1995,CAPP <-> WAPP,0
Baseline,1996,CAPP <-> WAPP,0
Baseline,1997,CAPP <-> WAPP,0
Baseline,1998,CAPP <-> WAPP,0
Baseline,1999,CAPP <-> WAPP,0
Baseline,2000,CAPP <-> WAPP,0
Baseline,2001,CAPP <-> WAPP,0
Baseline,2002,CAPP <-> WAPP,0
Baseline,2003,CAPP <-> WAPP,0
Baseline,2004,CAPP <-> WAPP,0
Baseline,2005,CAPP <-> WAPP,0
Baseline,2006,CAPP <-> WAPP,0
Baseline,2007,CAPP <-> WAPP,0
Baseline,2008,CAPP <-> WAPP,0
Baseline,2009,CAPP <-> WAPP,0
Baseline,2010,CAPP <-> WAPP,0
Baseline,2011,CAPP <-> WAPP,0
Baseline,2012,CAPP <-> WAPP,0
Baseline,2013,CAPP <-> WAPP,0
Baseline,2014,CAPP <-> WAPP,0
Baseline,2015,CAPP <-> WAPP,0
Baseline,2016,CAPP <-> WAPP,0
Baseline,2017,CAPP <-> WAPP,0
Baseline,2018,CAPP <-> WAPP,0
Baseline,1980,EAPP <-> NAPP,97.07
Baseline,1981,EAPP <-> NAPP,97.27
Baseline,1982,EAPP <-> NAPP,97.4
Baseline,1983,EAPP <-> NAPP,97.72
Baseline,1984,EAPP <-> NAPP,97.06
Baseline,1985,EAPP <-> NAPP,97.26
Baseline,1986,EAPP <-> NAPP,97.11
Baseline,1987,EAPP <-> NAPP,96.95
Baseline,1988,EAPP <-> NAPP,96.85
Baseline,1989,EAPP <-> NAPP,96.86
Baseline,1990,EAPP <-> NAPP,97.05
Baseline,1991,EAPP <-> NAPP,96.97
Baseline,1992,EAPP <-> NAPP,97.15
Baseline,1993,EAPP <-> NAPP,97.63
Baseline,1994,EAPP <-> NAPP,97.39
Baseline,1995,EAPP <-> NAPP,97.33
Baseline,1996,EAPP <-> NAPP,96.78
Baseline,1997,EAPP <-> NAPP,97.26
Baseline,1998,EAPP <-> NAPP,97.05
Baseline,1999,EAPP <-> NAPP,97.29
Baseline,2000,EAPP <-> NAPP,96.3
Baseline,2001,EAPP <-> NAPP,97.05
Baseline,2002,EAPP <-> NAPP,97.58
Baseline,2003,EAPP <-> NAPP,97.32
Baseline,2004,EAPP <-> NAPP,97.56
Baseline,2005,EAPP <-> NAPP,97.31
Baseline,2006,EAPP <-> NAPP,97.52
Baseline,2007,EAPP <-> NAPP,97.49
Baseline,2008,EAPP <-> NAPP,97.51
Baseline,2009,EAPP <-> NAPP,97.57
Baseline,2010,EAPP <-> NAPP,97
Baseline,2011,EAPP <-> NAPP,96.79
Baseline,2012,EAPP <-> NAPP,97.28
Baseline,2013,EAPP <-> NAPP,97.5
Baseline,2014,EAPP <-> NAPP,97.55
Baseline,2015,EAPP <-> NAPP,97.74
Baseline,2016,EAPP <-> NAPP,97.59
Baseline,2017,EAPP <-> NAPP,97.59
Baseline,2018,EAPP <-> NAPP,97.34
Baseline,1980,EAPP <-> SAPP,100
Baseline,1981,EAPP <-> SAPP,99.99
Baseline,1982,EAPP <-> SAPP,100
Baseline,1983,EAPP <-> SAPP,100
Baseline,1984,EAPP <-> SAPP,100
Baseline,1985,EAPP <-> SAPP,100
Baseline,1986,EAPP <-> SAPP,100
Baseline,1987,EAPP <-> SAPP,99.94
Baseline,1988,EAPP <-> SAPP,99.98
Baseline,1989,EAPP <-> SAPP,100
Baseline,1990,EAPP <-> SAPP,100
Baseline,1991,EAPP <-> SAPP,100
Baseline,1992,EAPP <-> SAPP,100
Baseline,1993,EAPP <-> SAPP,99.99
Baseline,1994,EAPP <-> SAPP,100
Baseline,1995,EAPP <-> SAPP,100
Baseline,1996,EAPP <-> SAPP,99.99
Baseline,1997,EAPP <-> SAPP,100
Baseline,1998,EAPP <-> SAPP,100
Baseline,1999,EAPP <-> SAPP,100
Baseline,2000,EAPP <-> SAPP,71.58
Baseline,2001,EAPP <-> SAPP,100
Baseline,2002,EAPP <-> SAPP,100
Baseline,2003,EAPP <-> SAPP,100
Baseline,2004,EAPP <-> SAPP,99.99
Baseline,2005,EAPP <-> SAPP,100
Baseline,2006,EAPP <-> SAPP,100
Baseline,2007,EAPP <-> SAPP,99.99
Baseline,2008,EAPP <-> SAPP,100
Baseline,2009,EAPP <-> SAPP,99.6
Baseline,2010,EAPP <-> SAPP,100
Baseline,2011,EAPP <-> SAPP,100
Baseline,2012,EAPP <-> SAPP,99.99
Baseline,2013,EAPP <-> SAPP,100
Baseline,2014,EAPP <-> SAPP,99.9
Baseline,2015,EAPP <-> SAPP,99.99
Baseline,2016,EAPP <-> SAPP,100
Baseline,2017,EAPP <-> SAPP,99.99
Baseline,2018,EAPP <-> SAPP,100
Baseline,1980,NAPP <-> WAPP,0
Baseline,1981,NAPP <-> WAPP,0
Baseline,1982,NAPP <-> WAPP,0
Baseline,1983,NAPP <-> WAPP,0
Baseline,1984,NAPP <-> WAPP,0
Baseline,1985,NAPP <-> WAPP,0
Baseline,1986,NAPP <-> WAPP,0
Baseline,1987,NAPP <-> WAPP,0
Baseline,1988,NAPP <-> WAPP,0
Baseline,1989,NAPP <-> WAPP,0
Baseline,1990,NAPP <-> WAPP,0
Baseline,1991,NAPP <-> WAPP,0
Baseline,1992,NAPP <-> WAPP,0
Baseline,1993,NAPP <-> WAPP,0
Baseline,1994,NAPP <-> WAPP,0
Baseline,1995,NAPP <-> WAPP,0
Baseline,1996,NAPP <-> WAPP,0
Baseline,1997,NAPP <-> WAPP,0
Baseline,1998,NAPP <-> WAPP,0
Baseline,1999,NAPP <-> WAPP,0
Baseline,2000,NAPP <-> WAPP,0
Baseline,2001,NAPP <-> WAPP,0
Baseline,2002,NAPP <-> WAPP,0
Baseline,2003,NAPP <-> WAPP,0
Baseline,2004,NAPP <-> WAPP,0
Baseline,2005,NAPP <-> WAPP,0
Baseline,2006,NAPP <-> WAPP,0
Baseline,2007,NAPP <-> WAPP,0
Baseline,2008,NAPP <-> WAPP,0
Baseline,2009,NAPP <-> WAPP,0
Baseline,2010,NAPP <-> WAPP,0
Baseline,2011,NAPP <-> WAPP,0
Baseline,2012,NAPP <-> WAPP,0
Baseline,2013,NAPP <-> WAPP,0
Baseline,2014,NAPP <-> WAPP,0
Baseline,2015,NAPP <-> WAPP,0
Baseline,2016,NAPP <-> WAPP,0
Baseline,2017,NAPP <-> WAPP,0
Baseline,2018,NAPP <-> WAPP,0
Connected,1980,CAPP <-> EAPP,0.05
Connected,1981,CAPP <-> EAPP,0.15
Connected,1982,CAPP <-> EAPP,0.35
Connected,1983,CAPP <-> EAPP,0.03
Connected,1984,CAPP <-> EAPP,0
Connected,1985,CAPP <-> EAPP,0.49
Connected,1986,CAPP <-> EAPP,0.21
Connected,1987,CAPP <-> EAPP,0.05
Connected,1988,CAPP <-> EAPP,0.29
Connected,1989,CAPP <-> EAPP,0.08
Connected,1990,CAPP <-> EAPP,0
Connected,1991,CAPP <-> EAPP,0.01
Connected,1992,CAPP <-> EAPP,0.99
Connected,1993,CAPP <-> EAPP,1.09
Connected,1994,CAPP <-> EAPP,1.41
Connected,1995,CAPP <-> EAPP,1.29
Connected,1996,CAPP <-> EAPP,0
Connected,1997,CAPP <-> EAPP,0
Connected,1998,CAPP <-> EAPP,0.1
Connected,1999,CAPP <-> EAPP,0.16
Connected,2000,CAPP <-> EAPP,0
Connected,2001,CAPP <-> EAPP,0.04
Connected,2002,CAPP <-> EAPP,0.3
Connected,2003,CAPP <-> EAPP,1.86
Connected,2004,CAPP <-> EAPP,0.06
Connected,2005,CAPP <-> EAPP,0.49
Connected,2006,CAPP <-> EAPP,0.03
Connected,2007,CAPP <-> EAPP,0.63
Connected,2008,CAPP <-> EAPP,0.66
Connected,2009,CAPP <-> EAPP,0.32
Connected,2010,CAPP <-> EAPP,0.06
Connected,2011,CAPP <-> EAPP,0.19
Connected,2012,CAPP <-> EAPP,0.12
Connected,2013,CAPP <-> EAPP,0.28
Connected,2014,CAPP <-> EAPP,0.02
Connected,2015,CAPP <-> EAPP,0.63
Connected,2016,CAPP <-> EAPP,1.84
Connected,2017,CAPP <-> EAPP,0.23
Connected,2018,CAPP <-> EAPP,1.11
Connected,1980,CAPP <-> SAPP,34.56
Connected,1981,CAPP <-> SAPP,46
Connected,1982,CAPP <-> SAPP,52.46
Connected,1983,CAPP <-> SAPP,53.05
Connected,1984,CAPP <-> SAPP,33.15
Connected,1985,CAPP <-> SAPP,53.49
Connected,1986,CAPP <-> SAPP,43.93
Connected,1987,CAPP <-> SAPP,46.04
Connected,1988,CAPP <-> SAPP,40.66
Connected,1989,CAPP <-> SAPP,34.06
Connected,1990,CAPP <-> SAPP,44.37
Connected,1991,CAPP <-> SAPP,39.6
Connected,1992,CAPP <-> SAPP,46.17
Connected,1993,CAPP <-> SAPP,53.37
Connected,1994,CAPP <-> SAPP,43.37
Connected,1995,CAPP <-> SAPP,42.52
Connected,1996,CAPP <-> SAPP,38.67
Connected,1997,CAPP <-> SAPP,50.55
Connected,1998,CAPP <-> SAPP,41.91
Connected,1999,CAPP <-> SAPP,30.21
Connected,2000,CAPP <-> SAPP,34.8
Connected,2001,CAPP <-> SAPP,43.54
Connected,2002,CAPP <-> SAPP,48.98
Connected,2003,CAPP <-> SAPP,49.39
Connected,2004,CAPP <-> SAPP,45.08
Connected,2005,CAPP <-> SAPP,54.66
Connected,2006,CAPP <-> SAPP,46.55
Connected,2007,CAPP <-> SAPP,46.51
Connected,2008,CAPP <-> SAPP,41.36
Connected,2009,CAPP <-> SAPP,43.62
Connected,2010,CAPP <-> SAPP,33.24
Connected,2011,CAPP <-> SAPP,38.01
Connected,2012,CAPP <-> SAPP,43.25
Connected,2013,CAPP <-> SAPP,43.36
Connected,2014,CAPP <-> SAPP,46.99
Connected,2015,CAPP <-> SAPP,55.54
Connected,2016,CAPP <-> SAPP,51.74
Connected,2017,CAPP <-> SAPP,52.27
Connected,2018,CAPP <-> SAPP,49.5
Connected,1980,CAPP <-> WAPP,91.96
Connected,1981,CAPP <-> WAPP,99.04
Connected,1982,CAPP <-> WAPP,99.65
Connected,1983,CAPP <-> WAPP,99.93
Connected,1984,CAPP <-> WAPP,99.98
Connected,1985,CAPP <-> WAPP,99.36
Connected,1986,CAPP <-> WAPP,79.97
Connected,1987,CAPP <-> WAPP,93.36
Connected,1988,CAPP <-> WAPP,74.57
Connected,1989,CAPP <-> WAPP,86.45
Connected,1990,CAPP <-> WAPP,77.17
Connected,1991,CAPP <-> WAPP,84.71
Connected,1992,CAPP <-> WAPP,99.98
Connected,1993,CAPP <-> WAPP,99.97
Connected,1994,CAPP <-> WAPP,78.01
Connected,1995,CAPP <-> WAPP,99.83
Connected,1996,CAPP <-> WAPP,59.92
Connected,1997,CAPP <-> WAPP,82.03
Connected,1998,CAPP <-> WAPP,95.01
Connected,1999,CAPP <-> WAPP,98.76
Connected,2000,CAPP <-> WAPP,100
Connected,2001,CAPP <-> WAPP,98.17
Connected,2002,CAPP <-> WAPP,95.31
Connected,2003,CAPP <-> WAPP,100
Connected,2004,CAPP <-> WAPP,99.68
Connected,2005,CAPP <-> WAPP,99.7
Connected,2006,CAPP <-> WAPP,88.61
Connected,2007,CAPP <-> WAPP,99.98
Connected,2008,CAPP <-> WAPP,99.99
Connected,2009,CAPP <-> WAPP,70.83
Connected,2010,CAPP <-> WAPP,78.22
Connected,2011,CAPP <-> WAPP,92.47
Connected,2012,CAPP <-> WAPP,99.97
Connected,2013,CAPP <-> WAPP,99.63
Connected,2014,CAPP <-> WAPP,93.9
Connected,2015,CAPP <-> WAPP,73.03
Connected,2016,CAPP <-> WAPP,100
Connected,2017,CAPP <-> WAPP,98.65
Connected,2018,CAPP <-> WAPP,87.65
Connected,1980,EAPP <-> NAPP,93.02
Connected,1981,EAPP <-> NAPP,94.11
Connected,1982,EAPP <-> NAPP,92.56
Connected,1983,EAPP <-> NAPP,93.33
Connected,1984,EAPP <-> NAPP,92.44
Connected,1985,EAPP <-> NAPP,91.89
Connected,1986,EAPP <-> NAPP,92.8
Connected,1987,EAPP <-> NAPP,93.61
Connected,1988,EAPP <-> NAPP,93.23
Connected,1989,EAPP <-> NAPP,93.24
Connected,1990,EAPP <-> NAPP,93.26
Connected,1991,EAPP <-> NAPP,93.36
Connected,1992,EAPP <-> NAPP,93.4
Connected,1993,EAPP <-> NAPP,93.55
Connected,1994,EAPP <-> NAPP,93.82
Connected,1995,EAPP <-> NAPP,93.57
Connected,1996,EAPP <-> NAPP,93.77
Connected,1997,EAPP <-> NAPP,92.68
Connected,1998,EAPP <-> NAPP,93.32
Connected,1999,EAPP <-> NAPP,93.65
Connected,2000,EAPP <-> NAPP,93.1
Connected,2001,EAPP <-> NAPP,93.4
Connected,2002,EAPP <-> NAPP,92.92
Connected,2003,EAPP <-> NAPP,93.28
Connected,2004,EAPP <-> NAPP,93.56
Connected,2005,EAPP <-> NAPP,93.77
Connected,2006,EAPP <-> NAPP,92.18
Connected,2007,EAPP <-> NAPP,93.44
Connected,2008,EAPP <-> NAPP,93.04
Connected,2009,EAPP <-> NAPP,93.32
Connected,2010,EAPP <-> NAPP,93.22
Connected,2011,EAPP <-> NAPP,92.42
Connected,2012,EAPP <-> NAPP,93.42
Connected,2013,EAPP <-> NAPP,92.69
Connected,2014,EAPP <-> NAPP,93.47
Connected,2015,EAPP <-> NAPP,92.08
Connected,2016,EAPP <-> NAPP,93.89
Connected,2017,EAPP <-> NAPP,93.37
Connected,2018,EAPP <-> NAPP,92.91
Connected,1980,EAPP <-> SAPP,89.77
Connected,1981,EAPP <-> SAPP,94.92
Connected,1982,EAPP <-> SAPP,98.65
Connected,1983,EAPP <-> SAPP,99.52
Connected,1984,EAPP <-> SAPP,81.91
Connected,1985,EAPP <-> SAPP,96.69
Connected,1986,EAPP <-> SAPP,95.38
Connected,1987,EAPP <-> SAPP,91.67
Connected,1988,EAPP <-> SAPP,87.22
Connected,1989,EAPP <-> SAPP,89.45
Connected,1990,EAPP <-> SAPP,84.83
Connected,1991,EAPP <-> SAPP,89.98
Connected,1992,EAPP <-> SAPP,99.07
Connected,1993,EAPP <-> SAPP,99.65
Connected,1994,EAPP <-> SAPP,95.81
Connected,1995,EAPP <-> SAPP,96.35
Connected,1996,EAPP <-> SAPP,81.96
Connected,1997,EAPP <-> SAPP,86.86
Connected,1998,EAPP <-> SAPP,92.31
Connected,1999,EAPP <-> SAPP,94.3
Connected,2000,EAPP <-> SAPP,85.87
Connected,2001,EAPP <-> SAPP,93.96
Connected,2002,EAPP <-> SAPP,98.66
Connected,2003,EAPP <-> SAPP,99.65
Connected,2004,EAPP <-> SAPP,93.66
Connected,2005,EAPP <-> SAPP,95.3
Connected,2006,EAPP <-> SAPP,96.3
Connected,2007,EAPP <-> SAPP,98.01
Connected,2008,EAPP <-> SAPP,93.34
Connected,2009,EAPP <-> SAPP,93.85
Connected,2010,EAPP <-> SAPP,87.07
Connected,2011,EAPP <-> SAPP,94.64
Connected,2012,EAPP <-> SAPP,92.47
Connected,2013,EAPP <-> SAPP,93.73
Connected,2014,EAPP <-> SAPP,97.44
Connected,2015,EAPP <-> SAPP,99.46
Connected,2016,EAPP <-> SAPP,100
Connected,2017,EAPP <-> SAPP,97.78
Connected,2018,EAPP <-> SAPP,99.48
Connected,1980,NAPP <-> WAPP,23.99
Connected,1981,NAPP <-> WAPP,21.18
Connected,1982,NAPP <-> WAPP,24.15
Connected,1983,NAPP <-> WAPP,18.16
Connected,1984,NAPP <-> WAPP,27.48
Connected,1985,NAPP <-> WAPP,32.61
Connected,1986,NAPP <-> WAPP,21.85
Connected,1987,NAPP <-> WAPP,22.52
Connected,1988,NAPP <-> WAPP,23.75
Connected,1989,NAPP <-> WAPP,25.92
Connected,1990,NAPP <-> WAPP,29.28
Connected,1991,NAPP <-> WAPP,20.68
Connected,1992,NAPP <-> WAPP,22.62
Connected,1993,NAPP <-> WAPP,24.01
Connected,1994,NAPP <-> WAPP,21.92
Connected,1995,NAPP <-> WAPP,26.58
Connected,1996,NAPP <-> WAPP,24.9
Connected,1997,NAPP <-> WAPP,23.88
Connected,1998,NAPP <-> WAPP,22.93
Connected,1999,NAPP <-> WAPP,26.44
Connected,2000,NAPP <-> WAPP,20.12
Connected,2001,NAPP <-> WAPP,13.84
Connected,2002,NAPP <-> WAPP,12.93
Connected,2003,NAPP <-> WAPP,15.82
Connected,2004,NAPP <-> WAPP,15.43
Connected,2005,NAPP <-> WAPP,16.14
Connected,2006,NAPP <-> WAPP,12.49
Connected,2007,NAPP <-> WAPP,22.79
Connected,2008,NAPP <-> WAPP,17.26
Connected,2009,NAPP <-> WAPP,16.04
Connected,2010,NAPP <-> WAPP,23.78
Connected,2011,NAPP <-> WAPP,13.98
Connected,2012,NAPP <-> WAPP,11.71
Connected,2013,NAPP <-> WAPP,20.35
Connected,2014,NAPP <-> WAPP,13.94
Connected,2015,NAPP <-> WAPP,14.29
Connected,2016,NAPP <-> WAPP,14.67
Connected,2017,NAPP <-> WAPP,16.63
Connected,2018,NAPP <-> WAPP,17.65
